station,distance
Oslo S,0
Sandvika,14
Asker,24
Drammen,42
Hønefoss,113
Nesbyen,207
Gol,225
Ål,251
Geilo,275
Ustaoset,288
Finse,325
Myrdal,359
Voss,408
Arna,485
Bergen,494
